Membership No  Date Joined  Active  
    46783      2018-8-13    no    
    91646      2018-8-1     yes   
    82769      2019-8-10    no    
    74834      2020-11-16   yes   
    58820      2015-11-11   no    
    58260      2015-2-9     yes   
    41207      2017-7-13    no    
    54843      2020-7-19    no    
    99415      2017-1-2     no    
    76732      2015-5-23    no    
    35688      2018-4-6     no    
    89437      2017-1-9     no    
    48242      2020-7-23    no    
    97656      2019-5-21    yes   
    82015      2017-1-22    yes   
    97073      2018-2-3     yes   
    61892      2018-6-8     yes   
    88848      2015-5-10    no    
    51509      2016-6-20    no    
    10411      2018-8-4     yes   
